carpark_id,name,latitude,longitude,available_lots,lot_type,agency,timestamp,source,update_datetime,total_lots
1,Suntec City (Marina),1.29375,103.85718,2069,C,LTA,2025-03-23T10:08:50,lta,,
2,Marina Square (Marina),1.29115,103.85728,1666,C,LTA,2025-03-23T10:08:50,lta,,
3,Raffles City (Marina),1.29382,103.85319,773,C,LTA,2025-03-23T10:08:50,lta,,
4,The Esplanade (Marina),1.29011,103.85561,726,C,LTA,2025-03-23T10:08:50,lta,,
5,Millenia Singapore (Marina),1.29251,103.86009,1120,C,LTA,2025-03-23T10:08:50,lta,,
6,Singapore Flyer (Marina),1.28944,103.86311,234,C,LTA,2025-03-23T10:08:50,lta,,
16,VivoCity P3 (Harbfront),1.26421,103.82263,1021,C,LTA,2025-03-23T10:08:50,lta,,
17,Sentosa (Harbfront),1.25017,103.83126,1351,C,LTA,2025-03-23T10:08:50,lta,,
19,Harbourfront Centre (Harbfront),1.26426,103.82011,687,C,LTA,2025-03-23T10:08:50,lta,,
50,VivoCity P2 (Harbfront),1.26426,103.82164,809,C,LTA,2025-03-23T10:08:50,lta,,
20,Far East Plaza (Orchard),1.3071,103.83359,466,C,LTA,2025-03-23T10:08:50,lta,,
18,Tang Plaza (Orchard),1.30491,103.83312,361,C,LTA,2025-03-23T10:08:50,lta,,
15,Wheelock Place (Orchard),1.3048,103.83063,235,C,LTA,2025-03-23T10:08:50,lta,,
13,Ngee Ann City (Orchard),1.30236,103.8349,994,C,LTA,2025-03-23T10:08:50,lta,,
12,Hilton Orchard (Orchard),1.30216,103.83601,190,C,LTA,2025-03-23T10:08:50,lta,,
11,Cineleisure (Orchard),1.30151,103.83641,248,C,LTA,2025-03-23T10:08:50,lta,,
21,Centrepoint (Orchard),1.302,103.83975,259,C,LTA,2025-03-23T10:08:50,lta,,
24,313@Somerset (Orchard),1.30084,103.83872,193,C,LTA,2025-03-23T10:08:50,lta,,
7,Orchard Point (Orchard),1.30135,103.84061,148,C,LTA,2025-03-23T10:08:50,lta,,
22,Concorde Hotel (Orchard),1.3006,103.84191,226,C,LTA,2025-03-23T10:08:50,lta,,
9,Plaza Singapura (Orchard),1.30103,103.84503,545,C,LTA,2025-03-23T10:08:50,lta,,
23,ION Orchard (Orchard),1.30403,103.83206,416,C,LTA,2025-03-23T10:08:50,lta,,
14,Wisma Atria (Orchard),1.30366,103.83327,278,C,LTA,2025-03-23T10:08:50,lta,,
8,The Heeren (Orchard),1.30255,103.83739,140,C,LTA,2025-03-23T10:08:50,lta,,
26,Resorts World Sentosa (Harbfront),1.25667,103.82012,1914,C,LTA,2025-03-23T10:08:50,lta,,
27,Orchard Central (Orchard),1.30072,103.83979,257,C,LTA,2025-03-23T10:08:50,lta,,
43,Westgate (JurongLakeDistrict),1.3343,103.74282,434,C,LTA,2025-03-23T10:08:50,lta,,
52,Orchard Gateway (Orchard),1.30048,103.83931,238,C,LTA,2025-03-23T10:08:50,lta,,
53,IMM Building (JurongLakeDistrict),1.334847,103.746815,1018,C,LTA,2025-03-23T10:08:50,lta,,
55,Paragon (Orchard),1.3038,103.83585,346,C,LTA,2025-03-23T10:08:50,lta,,
56,National Gallery (Marina),1.29027,103.85167,191,C,LTA,2025-03-23T10:08:50,lta,,
57,The Atrium@Orchard (Orchard),1.299781,103.84552,61,C,LTA,2025-03-23T10:08:50,lta,,
58,Bukit Panjang Plaza (Others),1.37974,103.7644,135,C,LTA,2025-03-23T10:08:50,lta,,
