ID,category,rate_day,open_ind,rate_first,rate_subsequent,duration_minutes_first,rate_type_sub,duration_minutes_sub,time_start_standardized,time_end_standardized,source_sys,carpark,carpark_code,vehicle_category,rate_type_first,short_term_parking,free_parking,night_parking
0,"Central, North & North East",weekdays_1,TRUE,$1.30 ,,30,,,12:00 AM,11:59 PM,lta,25 Toa Payoh Lorong 8,,All,,,,
1,"Central, North & North East",weekdays_1,TRUE,$0.02 ,,1,,,12:00 AM,11:59 PM,lta,45 Burghley Drive,,All,,,,
2,"Central, North & North East",weekdays_1,TRUE,$1.20 ,,60,,,12:00 AM,11:59 PM,lta,Ang Mo Kio Hub,,All,,,,
3,"Central, North & North East",weekdays_1,TRUE,$1.12 ,,60,,,12:00 AM,11:59 PM,lta,Balestier Plaza,,All,,,,
4,"Central, North & North East",weekdays_1,TRUE,$1.20 ,,60,,,8:00 AM,10:00 PM,lta,Balestier Point,,All,,,,
5,"Central, North & North East",weekdays_1,TRUE,$1 ,,30,,,7:00 AM,5:00 PM,lta,Bras Basah Complex,,All,,,,
6,"Central, North & North East",weekdays_1,TRUE,$1.20 ,$0.60 ,60,sub 30 mins,30,7:00 AM,10:30 PM,lta,Causeway Point,,All,,,,
7,"Central, North & North East",weekdays_1,TRUE,$1.80 ,$0.85 ,60,per 30 mins,30,12:00 AM,11:59 PM,lta,Central Place,,All,,,,
8,"Central, North & North East",weekdays_1,TRUE,$1.20 ,$0.60 ,60,sub 30 mins,30,7:00 AM,6:00 PM,lta,City Square Mall,,All,,,,
9,"Central, North & North East",weekdays_1,TRUE,$1.20 ,$0.60 ,60,sub 30 mins,30,7:00 AM,11:00 PM,lta,Compass Point,,All,,,,
10,"Central, North & North East",weekdays_1,TRUE,$1.60 ,$1 ,60,sub 30 mins,30,7:00 AM,5:30 PM,lta,Goldhill Plaza,,All,,,,
11,"Central, North & North East",weekdays_1,TRUE,$1 ,,60,,,7:00 AM,10:30 PM,lta,Heartland Mall,,All,,,,
12,"Central, North & North East",weekdays_1,TRUE,$0.50 ,,30,,,7:00 AM,7:00 AM,lta,Hindoo Road Off-Street,,All,,,,
13,"Central, North & North East",weekdays_1,TRUE,$1.07 ,$0.55 ,60,sub 30 mins,30,7:00 AM,5:00 PM,lta,Hougang Green Shopping Mall,,All,,,,
14,"Central, North & North East",weekdays_1,TRUE,$1.20 ,$0.70 ,60,per 30 mins,30,12:00 AM,11:59 PM,lta,Hougang Mall,,All,,,,
15,"Central, North & North East",weekdays_1,TRUE,$0.40 ,,30,,,5:00 AM,5:00 PM,lta,Hougang Plaza,,All,,,,
335,South & CBD,weekdays_1,TRUE,$2.20 ,$1.10 ,60,sub 30 mins,30,7:00 AM,5:00 PM,lta,Suntec City,1,All,,,,
17,"Central, North & North East",weekdays_1,TRUE,$0.50 ,,30,,,7:00 AM,7:00 AM,lta,Kampong Bugis Off-Street,,All,,,,
18,"Central, North & North East",weekdays_1,TRUE,$0.50 ,,30,,,7:00 AM,7:00 AM,lta,Kampong Kapor Road Off-Street,,All,,,,
19,"Central, North & North East",weekdays_1,TRUE,$2 ,,60,,,12:00 AM,11:59 PM,lta,Mustafa Centre,,All,,,,
20,"Central, North & North East",weekdays_1,TRUE,$1.30 ,,60,,,12:00 AM,11:59 PM,lta,Nex Mall,,All,,,,
21,"Central, North & North East",weekdays_1,TRUE,$1.20 ,$0.80 ,60,sub 30 mins,30,12:00 AM,11:59 PM,lta,Northpoint Shopping Centre,,All,,,,
22,"Central, North & North East",weekdays_1,TRUE,$1.13 ,,30,,,8:01 AM,6:00 PM,lta,Parliament House,,All,,,,
23,"Central, North & North East",weekdays_1,TRUE,$1.60 ,,60,,,6:00 AM,6:00 PM,lta,Ramada Hotel,,All,,,,
24,"Central, North & North East",weekdays_1,TRUE,$1.28 ,$0.64 ,60,sub 30 mins,30,12:00 AM,11:59 PM,lta,Rivervale Mall,,All,,,,
25,"Central, North & North East",weekdays_1,TRUE,$1.20 ,$0.32 ,60,sub 15 mins,15,12:00 AM,11:59 PM,lta,Sembawang Shopping Centre,,All,,,,
