carpark_id,area,address,latitude,longitude,x_coordinate,y_coordinate,total_lots,agency,dataset
1,DOWNTOWN CORE,Suntec City,1.29375,103.85718,30655.56868,30681.83322,992,LTA,lta
11,ORCHARD,Cineleisure,1.30151,103.83641,28344.0472,31539.88175,92,LTA,lta
12,ORCHARD,Hilton Orchard,1.30216,103.83601,28299.53074,31611.75535,99,LTA,lta
13,ORCHARD,Ngee Ann City,1.30236,103.8349,28175.99778,31633.87022,998,LTA,lta
14,ORCHARD,Wisma Atria,1.30366,103.83327,27994.59358,31777.61747,99,LTA,lta
15,ORCHARD,Wheelock Place,1.3048,103.83063,27700.78582,31903.67296,99,LTA,lta
16,BUKIT MERAH,VivoCity P3,1.26421,103.82263,26810.44046,27415.44275,99,LTA,lta
17,SOUTHERN ISLANDS,Sentosa,1.25017,103.83126,27770.89416,25862.97005,997,LTA,lta
18,ORCHARD,Tang Plaza,1.30491,103.83312,27977.89996,31915.83604,403,LTA,lta
19,BUKIT MERAH,Harbourfront Centre,1.26426,103.82011,26529.98319,27420.97278,895,LTA,lta
2,DOWNTOWN CORE,Marina Square,1.29115,103.85728,30666.70052,30394.33871,977,LTA,lta
20,ORCHARD,Far East Plaza,1.3071,103.83359,28030.20662,32157.99496,94,LTA,lta
21,ORCHARD,Centrepoint,1.302,103.83975,28715.75888,31594.06413,99,LTA,lta
22,ORCHARD,Concorde Hotel,1.3006,103.84191,28956.14784,31439.26005,277,LTA,lta
23,ORCHARD,ION Orchard,1.30403,103.83206,27859.93165,31818.5302,94,LTA,lta
24,ORCHARD,313@Somerset,1.30084,103.83872,28601.12948,31465.79704,99,LTA,lta
26,SOUTHERN ISLANDS,Resorts World Sentosa,1.25667,103.82012,26531.09186,26581.70992,2482,LTA,lta
27,ORCHARD,Orchard Central,1.30072,103.83979,28720.21088,31452.52833,97,LTA,lta
3,DOWNTOWN CORE,Raffles City,1.29382,103.85319,30211.51629,30689.56963,913,LTA,lta
4,DOWNTOWN CORE,The Esplanade,1.29011,103.85561,30480.84485,30279.33918,747,LTA,lta
43,JURONG EAST,Westgate,1.3343,103.74282,17928.45342,35165.81659,96,LTA,lta
5,DOWNTOWN CORE,Millenia Singapore,1.29251,103.86009,30979.42785,30544.72363,998,LTA,lta
50,BUKIT MERAH,VivoCity P2,1.26426,103.82164,26700.26083,27420.97197,9,LTA,lta
52,ORCHARD,Orchard Gateway,1.30048,103.83931,28666.79126,31425.99024,99,LTA,lta
53,JURONG EAST,IMM Building,1.334847,103.746815,18373.05767,35226.28512,986,LTA,lta
55,ORCHARD,Paragon,1.3038,103.83585,28281.72401,31793.09809,99,LTA,lta
56,DOWNTOWN CORE,National Gallery,1.29027,103.85167,30042.35634,30297.02765,209,LTA,lta
57,MUSEUM,The Atrium@Orchard,1.299781,103.84552,29357.90881,31348.7009,96,LTA,lta
58,BUKIT PANJANG,Bukit Panjang Plaza,1.37974,103.7644,20330.22653,40190.26582,97,LTA,lta
59,SINGAPORE RIVER,Clarke Quay,1.290678,103.84648,29464.75343,30342.13862,96,LTA,lta
6,DOWNTOWN CORE,Singapore Flyer,1.28944,103.86311,31315.53176,30205.26256,283,LTA,lta
61,ROCHOR,Bugis+,1.299748,103.85414,30317.23764,31345.0582,97,LTA,lta
62,CHOA CHU KANG,Lot One,1.385126,103.74494,18164.59321,40785.89466,99,LTA,lta
63,TAMPINES,Tampines Mall,1.352524,103.9447,40395.4996,37181.03234,93,LTA,lta
64,BISHAN,Junction 8,1.350521,103.84859,29699.53776,36959.27185,97,LTA,lta
65,BEDOK,Bedok Mall,1.3248,103.92939,38691.7871,34115.37719,99,LTA,lta
66,DOWNTOWN CORE,Funan Mall,1.2911,103.8502,29878.75728,30388.80364,98,LTA,lta
