carpark_id,area,address,x_coordinate,y_coordinate,latitude,longitude,total_lots,agency,dataset
1,DOWNTOWN CORE,Suntec City,30655.56868085574,30681.833215220555,1.29375,103.85718,2870.0,LTA,lta
11,ORCHARD,Cineleisure,28344.047198765078,31539.88175352697,1.30151,103.83641,280.0,LTA,lta
12,ORCHARD,Hilton Orchard,28299.53073691164,31611.75535465516,1.30216,103.83601,200.0,LTA,lta
13,ORCHARD,Ngee Ann City,28175.9977849213,31633.87022057354,1.30236,103.8349,1132.0,LTA,lta
14,ORCHARD,Wisma Atria,27994.59357830455,31777.617471459303,1.30366,103.83327,290.0,LTA,lta
15,ORCHARD,Wheelock Place,27700.7858182013,31903.672963193807,1.3048,103.83063,259.0,LTA,lta
16,BUKIT MERAH,VivoCity P3,26810.440461037382,27415.442750860228,1.26421,103.82263,1388.0,LTA,lta
17,SOUTHERN ISLANDS,Sentosa,27770.894161082262,25862.97005023181,1.25017,103.83126,1582.0,LTA,lta
18,ORCHARD,Tang Plaza,27977.899959600843,31915.83603625934,1.30491,103.83312,403.0,LTA,lta
19,BUKIT MERAH,Harbourfront Centre,26529.983193009557,27420.97278381012,1.26426,103.82011,895.0,LTA,lta
2,DOWNTOWN CORE,Marina Square,30666.700522355237,30394.338708910225,1.29115,103.85728,1860.0,LTA,lta
20,ORCHARD,Far East Plaza,28030.206617712854,32157.994963958317,1.3071,103.83359,496.0,LTA,lta
21,ORCHARD,Centrepoint,28715.75888127242,31594.06412927349,1.302,103.83975,362.0,LTA,lta
22,ORCHARD,Concorde Hotel,28956.147844973377,31439.260054340426,1.3006,103.84191,277.0,LTA,lta
23,ORCHARD,ION Orchard,27859.93164693974,31818.530201972106,1.30403,103.83206,490.0,LTA,lta
24,ORCHARD,313@Somerset,28601.12948397965,31465.797036061595,1.30084,103.83872,205.0,LTA,lta
26,SOUTHERN ISLANDS,Resorts World Sentosa,26531.09186121105,26581.70992421673,1.25667,103.82012,2482.0,LTA,lta
27,ORCHARD,Orchard Central,28720.21088122741,31452.528333616334,1.30072,103.83979,275.0,LTA,lta
3,DOWNTOWN CORE,Raffles City,30211.51628904661,30689.569630892263,1.29382,103.85319,913.0,LTA,lta
4,DOWNTOWN CORE,The Esplanade,30480.844849317982,30279.33917818888,1.29011,103.85561,747.0,LTA,lta
43,JURONG EAST,Westgate,17928.453422947678,35165.81658524602,1.3343,103.74282,573.0,LTA,lta
5,DOWNTOWN CORE,Millenia Singapore,30979.42784916966,30544.723625987524,1.29251,103.86009,1475.0,LTA,lta
50,BUKIT MERAH,VivoCity P2,26700.260834167337,27420.97196690151,1.26426,103.82164,860.0,LTA,lta
52,ORCHARD,Orchard Gateway,28666.791264512416,31425.990238413724,1.30048,103.83931,250.0,LTA,lta
53,JURONG EAST,IMM Building,18373.057669573704,35226.28511875687,1.334847,103.746815,1186.0,LTA,lta
55,ORCHARD,Paragon,28281.72400612141,31793.098090418636,1.3038,103.83585,413.0,LTA,lta
56,DOWNTOWN CORE,National Gallery,30042.356336483124,30297.027654318073,1.29027,103.85167,209.0,LTA,lta
57,MUSEUM,The Atrium@Orchard,29357.90881193761,31348.70090450299,1.299781,103.84552,96.0,LTA,lta
58,BUKIT PANJANG,Bukit Panjang Plaza,20330.226526021448,40190.26582064215,1.37974,103.7644,299.0,LTA,lta
59,SINGAPORE RIVER,Clarke Quay,29464.75343311141,30342.13861644535,1.290678,103.84648,354.0,LTA,lta
6,DOWNTOWN CORE,Singapore Flyer,31315.531762997787,30205.26256304401,1.28944,103.86311,283.0,LTA,lta
61,ROCHOR,Bugis+,30317.237643557073,31345.058199742867,1.299748,103.85414,323.0,LTA,lta
62,CHOA CHU KANG,Lot One,18164.593212316133,40785.89465697806,1.385126,103.74494,302.0,LTA,lta
63,TAMPINES,Tampines Mall,40395.499596217654,37181.03234406909,1.352524,103.9447,607.0,LTA,lta
64,BISHAN,Junction 8,29699.53776316666,36959.271850649035,1.350521,103.84859,276.0,LTA,lta
65,BEDOK,Bedok Mall,38691.78710368712,34115.37719012241,1.3248,103.92939,264.0,LTA,lta
66,DOWNTOWN CORE,Funan Mall,29878.757282250568,30388.803643130286,1.2911,103.8502,394.0,LTA,lta
7,ORCHARD,Orchard Point,28811.469299694407,31522.190736842484,1.30135,103.84061,162.0,LTA,lta
8,ORCHARD,The Heeren,28453.112158471307,31654.87975111042,1.30255,103.83739,152.0,LTA,lta
9,MUSEUM,Plaza Singapura,29303.37556153258,31486.80863434548,1.30103,103.84503,675.0,LTA,lta
A0007,ORCHARD,ANGULLIA PARK OFF STREET,27582.895000038214,31962.0600998889,1.3053280313212745,103.82957069514487,262.0,URA,lta
A0011,MUSEUM,ARMENIAN STREET OFF STREET,29730.299500038614,30701.29209986823,1.2939260442319098,103.84886606187928,45.0,URA,lta
A0017,ROCHOR,ARAB STREET - QUEEN STREET OFF STREET,30638.33940003798,31698.21989988463,1.3029418442251717,103.8570252731165,148.0,URA,lta
A0021,OUTRAM,AMOY STREET OFF STREET,29542.367600037465,29248.82179984456,1.280790422979401,103.84717734239698,16.0,URA,lta
A0024,NOVENA,ADAM ROAD FOOD CENTRE OFF STREET,25838.802000040254,34044.97730926823,1.3241651253846232,103.81389905625699,64.0,URA,lta
A0035,NEWTON,ANTHONY ROAD OFF STREET,28397.80120003807,32511.431199897852,1.3102963501645526,103.83689301654506,50.0,URA,lta
A0046,GEYLANG,ALJUNIED ROAD OFF STREET,33394.20430003734,32909.16419990438,1.3138928367737375,103.88178819343076,13.0,URA,lta
A10,ANG MO KIO,BLK 201/202 ANG MO KIO STREET 22,29247.03,38962.0,1.3686329816140794,103.8445240151766,63.0,HDB,hdb
A100,ANG MO KIO,BLK 650 ANG MO KIO STREET 61,29033.1895,39996.3712,1.3779874731949442,103.842602544842,64.0,HDB,hdb
A101,ANG MO KIO,BLK 651 ANG MO KIO AVENUE 9,28937.1415,40554.9338,1.3830389165845827,103.84173950080415,200.0,HDB,hdb
A11,ANG MO KIO,BLK 223/226/226A-226D ANG MO KIO STREET 22,28541.14,38785.36,1.3670355338571134,103.8381810968511,410.0,HDB,hdb
A12,ANG MO KIO,BLK 229/230 ANG MO KIO STREET 22,28605.489,38954.8,1.3685678874797558,103.83875932066391,194.0,HDB,hdb
A13,ANG MO KIO,BLK 232/233 ANG MO KIO STREET 22,28388.51,38892.03,1.3680002216512899,103.83680961188561,154.0,HDB,hdb
A15,ANG MO KIO,BLK 226E-226H ANG MO KIO STREET 22,28790.02,38777.85,1.3669676105068467,103.84041745596973,59.0,HDB,hdb
A2,ANG MO KIO,BLK 206/207 ANG MO KIO STREET 22,29082.59,38697.07,1.3662370557741221,103.84304639719952,188.0,HDB,hdb
A20,ANG MO KIO,BLK 304/307/319 ANG MO KIO STREET 31,29684.7366,38554.0251,1.3649433806415425,103.84845709182149,83.0,HDB,hdb
A21,ANG MO KIO,BLK 325/326/301 ANG MO KIO STREET 31,29446.1477,38906.1139,1.3681275586189163,103.8463132241709,633.0,HDB,hdb
A24,ANG MO KIO,BLK 338/340 ANG MO KIO STREET 32,29789.41,38533.02,1.3647534118811009,103.84939765277373,222.0,HDB,hdb
A25,ANG MO KIO,BLK 330/337 ANG MO KIO AVENUE 8,30037.566,38313.6296,1.3627693074285172,103.85162748927652,543.0,HDB,hdb
A26,ANG MO KIO,BLK 113/114/118 ANG MO KIO AVENUE 4,28236.93,39419.47,1.3727702022189985,103.83544756414679,333.0,HDB,hdb
A27,ANG MO KIO,BLK 108/109/110 ANG MO KIO STREET 11,28556.67,39153.3,1.3703630515467693,103.8383206515405,237.0,HDB,hdb
A28,ANG MO KIO,BLK 103/105/107 ANG MO KIO STREET 11,28461.3669,39295.5961,1.3716499282813763,103.83746428814854,81.0,HDB,hdb
A29,ANG MO KIO,BLK 347 ANG MO KIO AVENUE 3,29713.5035,38806.4544,1.3672262594201823,103.84871559664501,435.0,HDB,hdb
A30,ANG MO KIO,BLK 129/134 ANG MO KIO STREET 12,29012.7631,39222.5981,1.3709897466881407,103.84241897219825,12.0,HDB,hdb
A31,ANG MO KIO,BLK 119/128 ANG MO KIO STREET 12,29155.32,39163.04,1.3704511192782494,103.84369994453257,310.0,HDB,hdb
A33,ANG MO KIO,BLK 253/254 ANG MO KIO STREET 21,28152.8391,39115.4784,1.3700210113414353,103.83469194577,2.0,HDB,hdb
A34,ANG MO KIO,BLK 422/425 ANG MO KIO STREET 42,30042.0,38931.43,1.368356473219034,103.85166737410135,220.0,HDB,hdb
A35,ANG MO KIO,BLK 426/428/435 ANG MO KIO STREET 43,30310.66,38963.49,1.3686463926053345,103.85408147411323,473.0,HDB,hdb
A36,ANG MO KIO,BLK 436/443/445 ANG MO KIO STREET 43,30443.9088,38715.8847,1.3664071280973518,103.85527878732958,680.0,HDB,hdb
A37,ANG MO KIO,BLK 446/449/453 ANG MO KIO STREET 43,30474.8188,38904.5192,1.3681130684869152,103.85555655070138,193.0,HDB,hdb
A38,ANG MO KIO,BLK 407/410/421 ANG MO KIO AVENUE 10,30367.0774,38445.7028,1.3639637058040284,103.85458838271062,938.0,HDB,hdb
A39,ANG MO KIO,BLK 401/405 ANG MO KIO AVENUE 10,30309.63,38134.69,1.361151021658679,103.85407215463408,200.0,HDB,hdb
A4,ANG MO KIO,BLK 217/220 ANG MO KIO AVENUE 1,28876.2363,38636.7578,1.365691620587143,103.84119216501767,329.0,HDB,hdb
A40,ANG MO KIO,BLK 471/476 ANG MO KIO STREET 44,30633.47,38267.95,1.362356150537859,103.8569820859847,520.0,HDB,hdb
A41,ANG MO KIO,BLK 466/470 ANG MO KIO STREET 44,30627.96,38553.32,1.364936935305799,103.85693260004962,308.0,HDB,hdb
A42,ANG MO KIO,BLK 461/465 ANG MO KIO STREET 44,30675.9559,38735.0223,1.3665801816289644,103.85736389239304,138.0,HDB,hdb
A43,ANG MO KIO,BLK 457/458/460 ANG MO KIO STREET 44,30887.78,38670.51,1.3659967355493308,103.85926727197639,141.0,HDB,hdb
A44,ANG MO KIO,BLK 459/456 ANG MO KIO STREET 44,30856.9781,38804.1956,1.367205743273234,103.8589905085286,155.0,HDB,hdb
A45,ANG MO KIO,BLK 570/578 ANG MO KIO STREET 51,30438.53,39214.64,1.370917693067466,103.85523049600965,394.0,HDB,hdb
A47,ANG MO KIO,BLK 562/565/560 ANG MO KIO STREET 54,30885.475,39174.8899,1.3705581670513376,103.85924660891077,303.0,HDB,hdb
A48,ANG MO KIO,BLK 571/73 ANG MO KIO STREET 51,30374.18,39154.22,1.370371281457812,103.85465226092984,58.0,HDB,hdb
A49,ANG MO KIO,BLK 555/559 ANG MO KIO STREET 54,30724.16,39260.19,1.37132960595493,103.85779708766381,180.0,HDB,hdb
